cov_id,study_id,study_name,month_start,year_start,month_end,year_end,year_publish,year_mid,country,region_actual,region_analysis,urban_rural,location,study_design,study_sample,sex,population,population_detail,symptomatic,symptomatic_prop,never_sex,never_sex_prop,age_group,reproductive_age,age_range,age_min,age_max,age_mean,age_median,age_iqr,hiv_status,hiv_tested,hiv_positive,hiv_prevalence,sti,denom,num,prevalence,specimen,specimencat,test,testcat,sens,spec,adj_prev,adj_se,adj_prev_lwr,adj_prev_upr,adj_denom,adj_num,notes,search_v
#32490,Apea-Kubi 2005,NA,November,2001,December,2002,2005,2002,Ghana,WA,WA,Urban,Accra,Cross sectional,NR,Female,ANC attendees,Pregnant women newly registered for ANC,NR,NR,Exclude,0,Adult,Y,16+,16,NR,29.6,NA,NA,Mixed,NA,NA,NR,TV,294,10,0.034,High vaginal swab,genital fluid,wet mount,WM,52,100,0.071920787,0.020997261,0.037243514,0.117751458,151.3959239,10.88851393,Have not extracted for gynaecological patients who presented with STI symptoms,2
#21539,Arinze 2014,NA,NR,NR,NR,NR,2014,2011,Nigeria,WA,WA,Urban,Port Harcourt,Cross sectional,Random,Female,Students,Female undergraduates of University of Port Harcourt,NR,NR,NR,NR,Adult,Y,15 to 30,15,30,NA,NA,NA,Mixed,NA,NA,NR,CT,354,107,0.302,endocervical swab,genital fluid,Chlamydia rapid test device (swab/urine) (Inter-Chemical Ltd),rapid antigen test,56,99,0.533356337,0.045051553,0.45010595,0.621917745,122.6262108,65.40346666,NA,2
#21549,Asmah 2017,NA,April,2016,June,2016,2017,2016,Ghana,WA,WA,Rural,"Sogakope, South Tongu District, Volta Region",Cross sectional,Random,Female,ANC attendees,pregnant women who had been received for antenatal care as well as those visiting the laboratory for routine urine exam,NA,NA,Exclude,0,Adult,Y,NR,NR,NR,NA,NA,NA,Mixed,NA,NA,NR,TV,99,20,0.202020202,GE,genital fluid,Wet mount microscopy,WM,52,100,0.401300624,0.078672388,0.25678777,0.563113461,38.81807326,15.57771702,NA,1
#30645,Auta 2020,NA,NR,2019,NR,2020,2020,2019,Nigeria,WA,WA,Urban,Kaduna,Cross sectional,NR,Female,ANC attendees,Pregnant women,NA,NA,Exclude,0,Adult,Y,15+,15,NR,NA,NA,NA,Mixed,NA,NA,NR,TV,405,16,0.039506173,GE,genital fluid,Wet mount microscopy,WM,52,100,0.080385704,0.019832688,0.046206024,0.122963342,187.9409264,15.10776372,NA,1
#32533,Bailey 2007,MMC Trial 1,February,2002,September,2005,2007,2003,Kenya,EA,EA,Urban,Kisumu,RCT,Convenience,Male,HIV/STI prevention trial participants,Uncircumcised men recruited from community and public/private clinics,Include,NR,Exclude,0,Youth,Y,18 to 24,18,24,NA,20,19-22,HIV negative,2784,0,0,CT,2753,128,0.05,urine,urine,AMPLICOR CT/NG Test,NAAT,87.8,99.3,0.045613864,0.004582121,0.036968351,0.054596544,2073.422691,94.57682112,Diagnostic test information supplemented from Mehta 2007 (https://pubmed.ncbi.nlm.nih.gov/17507834/),2
#32533,Bailey 2007,MMC Trial 1,February,2002,September,2005,2007,2003,Kenya,EA,EA,Urban,Kisumu,RCT,Convenience,Male,HIV/STI prevention trial participants,Uncircumcised men recruited from community and public/private clinics,Include,NR,Exclude,0,Youth,Y,18 to 24,18,24,NA,20,19-22,HIV negative,2784,0,0,NG,2754,57,0.02,urine,urine,AMPLICOR CT/NG Test,NAAT,80.9,99.9,0.024798334,0.003413318,0.018621724,0.031702235,2075.695046,51.4737792,Diagnostic test information supplemented from Mehta 2007 (https://pubmed.ncbi.nlm.nih.gov/17507834/),2
#32533,Bailey 2007,MMC Trial 1,February,2002,September,2005,2007,2003,Kenya,EA,EA,Urban,Kisumu,RCT,Convenience,Male,HIV/STI prevention trial participants,Uncircumcised men recruited from community and public/private clinics,Include,NR,Exclude,0,Youth,Y,18 to 24,18,24,NA,20,19-22,HIV negative,2784,0,0,TV,2759,58,0.02,urine,urine,InPouch culture,culture,87.6,100,0.024451564,0.003155141,0.018697559,0.030967189,2396.171014,58.59012934,Diagnostic test information supplemented from Mehta 2007 (https://pubmed.ncbi.nlm.nih.gov/17507834/),2
#21599,Balaka 2005,NA,February,2002,June,2002,2005,2002,Togo,WA,WA,Urban,Lome,Cross sectional,Consecutive,Female,ANC attendees,All pregnant women attending first ANC visit,NA,NA,Exclude,0,Adult,Y,16 to 42,16,42,NA,NA,NA,Mixed,NA,NA,NR,TV,306,35,0.114379085,GE,genital fluid,Wet mount microscopy,WM,52,100,0.224899414,0.035742151,0.15926483,0.298337415,136.4536077,30.6883364,NA,1
#21618,Barnabas 2018,WISH,November,2013,February,2015,2018,2014,South Africa,SA,SA,Urban,Cape Town and Soweto,Cohort,Consecutive,Female,PHC/OPD attendees,Participants recruited from youth centres and the community,Include,NR,Exclude,NR,Youth,Y,16 to 22,16,22,NA,18,17-20,HIV negative,297,0,0,CT,297,88,0.3,vulvovaginal swab,genital fluid,PCR,NAAT,88.6,99.6,0.333038271,0.0306786,0.272958998,0.394620992,236.0065127,78.59920081,NA,2
#21618,Barnabas 2018,WISH,November,2013,February,2015,2018,2014,South Africa,SA,SA,Urban,Cape Town and Soweto,Cohort,Consecutive,Female,PHC/OPD attendees,Participants recruited from youth centres and the community,Include,NR,Exclude,NR,Youth,Y,16 to 22,16,22,NA,18,17-20,HIV negative,297,0,0,NG,297,24,0.08,vulvovaginal swab,genital fluid,PCR,NAAT,93.3,99.2,0.082359879,0.017517153,0.05106985,0.119940354,246.2980926,20.28508113,NA,2
#21618,Barnabas 2018,WISH,November,2013,February,2015,2018,2014,South Africa,SA,SA,Urban,Cape Town and Soweto,Cohort,Consecutive,Female,PHC/OPD attendees,Participants recruited from youth centres and the community,Include,NR,Exclude,NR,Youth,Y,16 to 22,16,22,NA,18,17-20,HIV negative,297,0,0,TV,297,16,0.05,vulvovaginal swab,genital fluid,PCR,NAAT,95,98,0.039630785,0.014310619,0.015098569,0.070576894,185.8463697,7.365237589,NA,2
#24946,Baussano 2021,F,March,2017,November,2017,2021,2017,Rwanda,EA,EA,Urban,"Nyarugenge, Kigali",Cross sectional,Convenience,Female,Students,Secondary school students,Include,NR,Include,0.67100000000000004,Youth,Y,17 to 21,17,21,NA,NA,NA,Mixed,NA,NA,NR,CT,1087,40,0.037,urine,urine,PCR,NAAT,87,99.8,0.040993033,0.006559541,0.028987531,0.054759364,913.6606169,37.45371961,Baseline data extracted already from Franceschi 2016,2
#21635,Behanzin 2012,NA,NR,2008,NR,2008,2012,2008,Benin,WA,WA,Urban,Cotonou,Cross sectional,Random,Female,Population-representative survey participants,Cluster survey: General population,NA,NA,NA,NA,Adult,Y,15 to 49,15,49,NA,NA,NA,Mixed,1241,0,0.04,CT,1230,21,0.017,UR,urine,PCR,NAAT,87,99.8,0.018305614,0.004341731,0.010538443,0.027317095,953.3115353,17.45095253,NA,1
#21635,Behanzin 2012,NA,NR,2008,NR,2008,2012,2008,Benin,WA,WA,Urban,Cotonou,Cross sectional,Random,Female,Population-representative survey participants,Cluster survey: General population,NA,NA,NA,NA,Adult,Y,15 to 49,15,49,NA,NA,NA,Mixed,1241,0,0.04,NG,1241,8,0.006,UR,urine,PCR,NAAT,91.6,100,0.007815982,0.002590582,0.003601872,0.013583587,1155.529794,9.03160063,NA,1
#21635,Behanzin 2012,NA,NR,2008,NR,2008,2012,2008,Benin,WA,WA,Urban,Cotonou,Cross sectional,Random,Male,Population-representative survey participants,Cluster survey: General population,NA,NA,NA,NA,Adult,Y,15 to 49,15,49,NA,NA,NA,Mixed,1040,0,0.02,CT,1040,23,0.022,UR,urine,PCR,NAAT,87.8,99.3,0.018457192,0.00543689,0.008902514,0.030050036,612.8777038,11.31200125,NA,1
#21635,Behanzin 2012,NA,NR,2008,NR,2008,2012,2008,Benin,WA,WA,Urban,Cotonou,Cross sectional,Random,Male,Population-representative survey participants,Cluster survey: General population,NA,NA,NA,NA,Adult,Y,15 to 49,15,49,NA,NA,NA,Mixed,1040,0,0.02,NG,1040,3,0.003,UR,urine,PCR,NAAT,80.9,99.9,0.003578927,0.002285613,0.000360086,0.009044119,682.6379176,2.443111291,NA,1
#21676,Black 2008,NA,October,2004,September,2006,2008,2005,South Africa,SA,SA,Urban,Johannesburg,Cross sectional,Convenience,Male,PHC/OPD attendees,HIV voluntary counselling and testing clients at PHC,Exclude,0,Exclude,NR,Adult,Y,NR,NR,NR,NA,NA,NA,Mixed,NA,NA,NR,CT,158,13,0.082,urine,urine,pcr,NAAT,87.8,99.3,0.092096589,0.025585684,0.048181628,0.147601831,127.7288913,11.76339519,Potentially higher risk population if presenting for HIV testing,2
#21676,Black 2008,NA,October,2004,September,2006,2008,2005,South Africa,SA,SA,Urban,Johannesburg,Cross sectional,Convenience,Male,PHC/OPD attendees,HIV voluntary counselling and testing clients at PHC,Exclude,0,Exclude,NR,Adult,Y,NR,NR,NR,NA,NA,NA,Mixed,NA,NA,NR,NG,158,5,0.032,urine,urine,culture or pcr,culture or NAAT,80.9,99.9,0.044824031,0.018260642,0.016019443,0.087228047,128.3991701,5.755368437,Potentially higher risk population if presenting for HIV testing,2
#21676,Black 2008,NA,October,2004,September,2006,2008,2005,South Africa,SA,SA,Urban,Johannesburg,Cross sectional,Convenience,Male,PHC/OPD attendees,HIV voluntary counselling and testing clients at PHC,Exclude,0,Exclude,NR,Adult,Y,NR,NR,NR,NA,NA,NA,Mixed,NA,NA,NR,TV,158,6,0.038,urine,urine,culture or pcr,culture or NAAT,87.6,97.7,0.026479155,0.017452133,0.002164443,0.066958695,84.63546032,2.241075483,Potentially higher risk population if presenting for HIV testing,2
#26386,Bolaji 2013,NA,June,2011,July,2011,2013,2011,Nigeria,WA,WA,Mixed,NR,Cross sectional,NR,Female,ANC attendees,Asymptomatic pregnant women,NA,NA,Exclude,0,Adult,Y,20 to 40,20,40,NA,NA,NA,Mixed,NA,NA,NR,TV,79,5,0.063291139,GE,genital fluid,Culture in Oxoid medium,culture,68.8,100,0.107233314,0.041732415,0.040664929,0.20012498,54.96935748,5.894546354,Extracted only for asymptomatic women,1
#32521,Botswana Ministry of Health 2011,NA,NR,2007,NR,2008,2011,2008,Botswana,SA,SA,Mixed,7 Districts,Cross sectional,NR,Female,FP attendees,Women visiting FP clinic,NA,NA,NA,NA,Adult,Y,NR,NR,NR,NA,NA,NA,Mixed,NA,NA,NR,CT,337,23,0.068249258,UR,urine,PCR,NAAT,87,99.8,0.079416651,0.0159871,0.05083387,0.112500163,286.0456089,22.71678442,Can't find report. Have used WHO extraction.,1
#32521,Botswana Ministry of Health 2011,NA,NR,2007,NR,2008,2011,2008,Botswana,SA,SA,Mixed,7 Districts,Cross sectional,NR,Female,FP attendees,Women visiting FP clinic,NA,NA,NA,NA,Adult,Y,NR,NR,NR,NA,NA,NA,Mixed,NA,NA,NR,NG,337,11,0.03264095,UR,urine,NAAT,NAAT,91.6,100,0.038889641,0.011366971,0.019672336,0.064005074,289.2795078,11.24997614,Can't find report. Have used WHO extraction.,1
#21750,Butcher 2023,NA,September,2019,February,2021,2023,2020,The Gambia,WA,WA,Unsure,Jarra Soma and 8 surrounding villages in Lower River Region,Cross sectional,Convenience,Female,HIV/STI prevention trial participants,Females >= 15 years participating in the HANDS trial and their mothers/female guardians (for participants < 15 years).,NA,NA,NA,NA,Adult,N,15 to 69,15,69,NA,25,19-36,Mixed,NA,NA,NR,CT,420,9,0.021,urine,urine,NAAT,NAAT,87,99.8,0.024981474,0.00864108,0.01081808,0.044290225,326.208227,8.149162344,NA,1
#21750,Butcher 2023,NA,September,2019,February,2021,2023,2020,The Gambia,WA,WA,Unsure,Jarra Soma and 8 surrounding villages in Lower River Region,Cross sectional,Convenience,Female,HIV/STI prevention trial participants,Females >= 15 years participating in the HANDS trial and their mothers/female guardians (for participants < 15 years).,NA,NA,NA,NA,Adult,N,15 to 69,15,69,NA,25,19-36,Mixed,NA,NA,NR,NG,420,1,0.002,urine,urine,NAAT,NAAT,91.6,100,0.00520017,0.0036046,0.00065138,0.014179323,398.1430323,2.07041127,NA,1
#21750,Butcher 2023,NA,September,2019,February,2021,2023,2020,The Gambia,WA,WA,Unsure,Jarra Soma and 8 surrounding villages in Lower River Region,Cross sectional,Convenience,Female,HIV/STI prevention trial participants,Females >= 15 years participating in the HANDS trial and their mothers/female guardians (for participants < 15 years).,NA,NA,NA,NA,Adult,N,15 to 69,15,69,NA,25,19-36,Mixed,NA,NA,NR,TV,420,32,0.076,urine,urine,NAAT,NAAT,66.9,98.3,0.09371277,0.02026272,0.05751444,0.135992375,206.8564933,19.38509491,NA,1
#21773,Celentano 2010,NIMH Collaborative HIV/STD Prevention Trial,May,2003,October,2003,2010,2003,Zimbabwe,EA,EA,Rural,Thirty-two rural villages across eight rural districts,Cross sectional,Convenience,Female,Community members,Participants recruited from community: retail establishments in business centers of growth points in rural Zimbabwe,Include,NR,NR,NR,Adult,Y,18 to 30,18,30,NA,21,NA,Mixed,2596,779,0.3,CT,2503,150,0.06,vaginal swab,genital fluid,Amplicor CT/NG PCR,NAAT,88.6,99.6,0.063724326,0.005394324,0.053702299,0.074628767,2050.382714,130.6592561,Supplemented study details from https://pubmed.ncbi.nlm.nih.gov/17413260/ and https://pubmed.ncbi.nlm.nih.gov/17413267/,2
#21773,Celentano 2010,NIMH Collaborative HIV/STD Prevention Trial,May,2003,October,2003,2010,2003,Zimbabwe,EA,EA,Rural,Thirty-two rural villages across eight rural districts,Cross sectional,Convenience,Female,Community members,Participants recruited from community: retail establishments in business centers of growth points in rural Zimbabwe,Include,NR,NR,NR,Adult,Y,18 to 30,18,30,NA,21,NA,Mixed,2596,779,0.3,NG,2475,105,0.042,vaginal swab,genital fluid,Amplicor CT/NG PCR,NAAT,93.3,99.2,0.037554381,0.004415647,0.029346065,0.046752147,1853.736974,69.61594547,Supplemented study details from https://pubmed.ncbi.nlm.nih.gov/17413260/ and https://pubmed.ncbi.nlm.nih.gov/17413267/,2
#21773,Celentano 2010,NIMH Collaborative HIV/STD Prevention Trial,May,2003,October,2003,2010,2003,Zimbabwe,EA,EA,Rural,Thirty-two rural villages across eight rural districts,Cross sectional,Convenience,Female,Community members,Participants recruited from community: retail establishments in business centers of growth points in rural Zimbabwe,Include,NR,NR,NR,Adult,Y,18 to 30,18,30,NA,21,NA,Mixed,2596,779,0.3,TV,2595,426,0.164,vaginal swab,genital fluid,InPouch culture,culture,68.8,100,0.238917557,0.010529796,0.218421292,0.259599928,1639.985027,391.8212155,Supplemented study details from https://pubmed.ncbi.nlm.nih.gov/17413260/ and https://pubmed.ncbi.nlm.nih.gov/17413267/,2
#21773,Celentano 2010,NIMH Collaborative HIV/STD Prevention Trial,May,2003,October,2003,2010,2003,Zimbabwe,EA,EA,Rural,Thirty-two rural villages across eight rural districts,Cross sectional,Convenience,Male,Community members,Participants recruited from community: retail establishments in business centers of growth points in rural Zimbabwe,Include,NR,NR,NR,Adult,Y,18 to 30,18,30,NA,21,NA,Mixed,2942,344,0.11700000000000001,CT,2918,72,0.025,urine,urine,Amplicor CT/NG PCR,NAAT,87.8,99.3,0.02071494,0.003313914,0.014532217,0.027651396,1847.18431,38.26431246,Supplemented study details from https://pubmed.ncbi.nlm.nih.gov/17413260/ and https://pubmed.ncbi.nlm.nih.gov/17413267/,2
#21773,Celentano 2010,NIMH Collaborative HIV/STD Prevention Trial,May,2003,October,2003,2010,2003,Zimbabwe,EA,EA,Rural,Thirty-two rural villages across eight rural districts,Cross sectional,Convenience,Male,Community members,Participants recruited from community: retail establishments in business centers of growth points in rural Zimbabwe,Include,NR,NR,NR,Adult,Y,18 to 30,18,30,NA,21,NA,Mixed,2942,344,0.11700000000000001,NG,2912,44,0.015,urine,urine,Amplicor CT/NG PCR,NAAT,80.9,99.9,0.017918093,0.002762226,0.012984554,0.023758481,2306.327677,41.32499489,Supplemented study details from https://pubmed.ncbi.nlm.nih.gov/17413260/ and https://pubmed.ncbi.nlm.nih.gov/17413267/,2
#21775,Celum 2022,POWER,June,2017,September,2020,2022,2019,Kenya,EA,EA,Urban,Kisumu,Cohort,NR,Female,FP attendees,"POWER baseline: HIV negative, had vaginal intercourse in the prior 3 months and interested in PrEP. AGYW seeking family planning, SRH services and primary care.",NA,NA,NA,NA,Youth,Y,16 to 25,16,25,NA,21,19-23,HIV negative,1000,0,0,CT,1000,172,0.172,cervical swab,genital fluid,NAAT,NAAT,88.6,99.6,0.191562721,0.013855986,0.164975991,0.219706021,806.6450318,154.5231169,NA,1
#21775,Celum 2022,POWER,June,2017,September,2020,2022,2019,Kenya,EA,EA,Urban,Kisumu,Cohort,NR,Female,FP attendees,"POWER baseline: HIV negative, had vaginal intercourse in the prior 3 months and interested in PrEP. AGYW seeking family planning, SRH services and primary care.",NA,NA,NA,NA,Youth,Y,16 to 25,16,25,NA,21,19-23,HIV negative,1000,0,0,NG,1000,61,0.061,cervical swab,genital fluid,NAAT,NAAT,93.3,99.2,0.058322725,0.008537413,0.042617829,0.07594066,753.50708,43.9465863,NA,1
#21775,Celum 2022,POWER,June,2017,September,2020,2022,2019,South Africa,SA,SA,Urban,Kisumu,Cohort,NR,Female,FP attendees,"POWER baseline: HIV negative, had vaginal intercourse in the prior 3 months and interested in PrEP. AGYW seeking family planning, SRH services and primary care.",NA,NA,NA,NA,Youth,Y,16 to 25,16,25,NA,21,19-23,HIV negative,1550,0,0,CT,1550,495,0.319354839,cervical swab,genital fluid,NAAT,NAAT,88.6,99.6,0.357929785,0.013614769,0.331601173,0.384067161,1239.823389,443.7697188,NA,1
#21775,Celum 2022,POWER,June,2017,September,2020,2022,2019,South Africa,SA,SA,Urban,Kisumu,Cohort,NR,Female,FP attendees,"POWER baseline: HIV negative, had vaginal intercourse in the prior 3 months and interested in PrEP. AGYW seeking family planning, SRH services and primary care.",NA,NA,NA,NA,Youth,Y,16 to 25,16,25,NA,21,19-23,HIV negative,1550,0,0,NG,1550,160,0.103225806,cervical swab,genital fluid,NAAT,NAAT,93.3,99.2,0.103499139,0.008408004,0.087387892,0.120140135,1312.506848,135.8433285,NA,1
#21788,Chaponda 2021,NA,November,2013,April,2014,2021,2014,Zambia,EA,EA,Rural,Nchelenge and Kashikishi,Cohort,NR,Female,ANC attendees,Pregnant women,NA,NA,Exclude,0,Adult,Y,NR,NR,NR,25.6,NA,NA,Mixed,NA,NA,NR,CT,1084,56,0.051660517,Cervico-vaginal swabs,genital fluid,PCR,NAAT,88.6,99.6,0.054853312,0.007513283,0.041193075,0.070722387,918.422569,50.37851961,NA,1
#21788,Chaponda 2021,NA,November,2013,April,2014,2021,2014,Zambia,EA,EA,Rural,Nchelenge and Kashikishi,Cohort,NR,Female,ANC attendees,Pregnant women,NA,NA,Exclude,0,Adult,Y,NR,NR,NR,25.6,NA,NA,Mixed,NA,NA,NR,NG,1084,34,0.031365314,Cervico-vaginal swabs,genital fluid,PCR,NAAT,93.3,99.2,0.026160966,0.005943786,0.015526405,0.038761108,721.131735,18.86550284,NA,1
